37.187.5.175,50.9871,2.12554,2020-09-21;,4
85.229.186.252,59.6122,16.5384,2020-09-07; 2020-09-13;,11
148.223.66.57,22.8853,-109.9101,2020-10-26;,4
190.151.37.21,-33.4513,-70.6653,2020-10-06;,4
54.37.205.241,44.8378,-0.57918,2020-10-26; 2020-10-05; 2020-08-31;,12
183.230.248.105,29.5514,106.5555,2020-10-06; 2020-10-08;,6
167.172.195.99,37.3417,-121.9753,2020-08-03; 2020-09-16; 2020-08-16; 2021-02-08; 2020-12-03; 2021-03-12; 2020-11-14;,28
75.109.250.41,40.8765,-124.0761,2020-08-25;,63
42.98.238.149,22.3333,114.25,2020-10-09; 2020-10-08;,8
222.74.50.141,43.3782,115.059,2021-01-02;,2
187.44.138.155,-13.5687,-39.2167,2020-12-07; 2020-11-11; 2020-11-23; 2021-01-04;,29
197.159.68.8,9.0833,7.5333,2020-08-12;,4
117.93.116.118,39.9285,116.385,2020-08-15;,2
106.52.26.50,22.5431,114.058,2021-02-16; 2020-11-25;,17
42.3.120.202,22.3275,114.1307,2020-09-29;,3
140.143.250.89,22.5431,114.058,2020-10-27;,4
222.65.43.72,31.0549,121.3493,2020-11-15; 2020-10-21;,8
117.211.192.70,25.315,83.0058,2020-10-06; 2020-10-31; 2020-10-22; 2020-11-27; 2021-04-22; 2021-01-13; 2021-04-19;,37
49.232.99.86,22.5431,114.058,2021-01-04;,2
175.6.35.202,27.6253,111.857,2020-11-18;,4
122.51.21.208,23.0623,113.389,2020-09-04; 2020-08-01;,8
117.121.237.62,27.7131,85.3192,2020-10-04;,6
118.24.121.168,39.9822,116.306,2020-09-09; 2020-11-14; 2020-10-15;,12
27.128.236.107,37.8957,114.904,2020-11-21;,4
165.227.52.184,37.3417,-121.9753,2021-02-12; 2020-12-31; 2020-11-14; 2020-09-26;,16
77.38.156.88,56.9496,24.0978,2020-10-01;,4
220.132.75.140,24.9389,121.5422,2020-11-08; 2021-04-27; 2020-12-17; 2020-09-18; 2020-10-24;,27
91.237.120.104,47.9097,33.3804,2020-10-06;,4
5.135.239.81,45.5002,9.18346,2020-12-16;,4
134.209.176.160,51.5353,-0.6658,2020-08-21;,4
169.57.206.98,-23.5716,-46.6443,2020-11-09;,4
129.213.38.54,39.018,-77.539,2020-08-17; 2020-08-10;,8
122.51.80.81,23.0623,113.389,2020-08-31;,2
92.49.187.69,51.7847,55.0986,2020-10-09;,4
64.227.18.173,40.793,-74.0247,2020-08-25;,4
219.78.66.158,22.2795,114.146,2020-10-02;,4
51.104.51.231,51.481785,-3.178065,2020-09-24;,4
89.248.172.101,52.3702,4.89517,2020-11-21;,3
35.230.132.184,51.5123,-0.0909,2020-10-21;,4
202.170.57.253,5.3584,100.3093,2020-10-26; 2020-10-25; 2021-01-31;,12
39.107.40.43,30.2813,120.12,2020-09-09;,4
167.172.193.218,37.3417,-121.9753,2020-09-25;,4
103.207.11.6,18.6161,73.7286,2020-12-21;,4
24.152.206.95,41.1285,-75.0132,2020-10-03; 2020-10-05; 2020-10-01;,14
106.13.75.97,39.9042,116.407,2020-09-27; 2020-08-23;,8
159.203.190.189,40.793,-74.0247,2020-09-23;,4
219.78.98.125,22.2795,114.146,2020-10-04; 2020-10-05; 2020-10-08;,15
118.25.139.201,39.9822,116.306,2020-12-31;,8
123.133.67.2,36.2647,120.033,2021-01-08; 2021-04-03;,8
64.57.253.25,33.8621,-84.4198,2020-09-07; 2020-08-29; 2020-09-01;,21
